level1	level2
P00718	3.2.1.17
P07378	2.7.2.3
Q56268	1.1.1.85
P19148	5.3.1.5
P54273	5.3.1.5
P45687	5.3.1.5
P00969	6.5.1.1
P35033	3.4.21.4
P01645	3.2.1.18
P01749	3.2.1.18
O07883	3.4.19.3
P00549	2.7.1.40
P15202	1.11.1.6
P98119	3.4.21.68
P16115	1.1.1.27
P69829	2.7.1.69
P12033	2.7.1.19
P07766	2.7.10.2
P49323	1.11.1.10
P33912	1.11.1.10
O31158	1.11.1.10
O31168	1.11.1.10
P55194	2.7.10.2
P09620	3.4.16.6
P11883	1.2.1.5
P56194	6.1.1.21
P50162	1.1.1.236
P20000	1.2.1.3
P10172	3.5.1.1
P28510	3.4.21.5
Q53554	2.3.3.1
P0AC13	2.5.1.15
P24289	3.1.30.1
P09030	3.1.11.2
P56272	3.4.23.1
P0C061	5.1.1.11
P36368	3.4.21.35
P00818	3.6.1.7
P48534	1.11.1.11
P20933	3.5.1.26
P37064	1.10.3.3
Q53547	3.1.1.1
Q27049	3.4.21.5
P50921	5.3.1.1
Q9ZP62	2.5.1.18
P52279	3.4.11.5
P00771	3.4.21.32
O87703	6.5.1.2
Q08713	1.15.1.1
P08010	2.5.1.18
P56868	5.1.1.3
P0A2X8	2.7.2.2
P39460	1.2.1.12
O80164	2.7.7.7
Q9ZF99	1.1.1.37
O52552	4.2.1.144
P07801	2.1.1.80
Q26609	2.7.1.1
P09215	2.7.11.13
P52175	2.7.4.6
P10342	3.2.1.68
P00268	1.18.1.1
P05708	2.7.1.1
P56588	3.2.1.8
P04063	3.2.1.1
Q40069	1.11.1.7
P00781	3.4.21.62
P26509	3.2.1.15
P52174	2.7.4.6
P42771	2.7.11.22
P55273	2.7.11.22
P14421	3.1.1.4
P23721	2.6.1.52
P00637	3.1.3.11
P26380	2.7.1.69
P16277	2.7.10.2
Q60773	2.7.11.22
P49891	2.8.2.4
P08056	4.6.1.19
P11409	2.1.1.113
P22635	1.13.11.8
P22636	1.13.11.8
P56533	1.2.1.8
P81177	3.4.24.27
P42206	4.2.1.40
P08419	3.4.21.71
P77836	2.4.2.2
P33185	3.2.2.22
P14559	3.5.2.6
P0CI79	2.1.1.45
P80293	1.15.1.1
P54318	3.1.1.3
Q06319	1.3.8.1
Q9ZP19	1.10.3.1
P15240	3.4.21.7
P52663	3.5.2.6
P00617	3.1.1.4
P00989	3.1.1.4
P01092	3.2.1.1
Q56304	1.4.1.3
P33447	2.6.1.5
P08078	2.1.4.2
P26997	5.3.1.5
P56681	5.3.1.5
P27830	4.2.1.46
P09658	4.1.1.39
P0C2C2	4.1.1.39
P12653	2.5.1.18
P80324	1.4.3.3
Q59771	1.4.1.20
P30304	3.1.3.48
Q9XH32	2.5.1.78
Q9X0I0	4.3.2.2
Q9UVT8	2.5.1.78
Q75WN8	3.7.1.8
Q27450	5.2.1.8
P68802	3.4.24.29
P31011	4.1.99.2
O08782	1.1.1.2
P20333	2.3.2.27
P26205	3.2.1.21
P26325	1.1.1.1
P0C2S3	3.2.1.4
P10618	1.2.1.12
P56200	3.1.21.4
P06621	3.4.17.11
P00995	3.4.21.1
P38488	3.5.3.3
P38075	1.4.3.5
P46489	1.1.1.82
P80064	1.13.11.27
Q06486	2.7.11.1
P97756	2.7.11.17
Q84424	2.7.7.50
P08178	6.3.3.1
P80403	3.2.1.1
P35127	3.1.2.15
P00456	1.18.6.1
P00732	3.4.17.2
